DATE,CSX1,CSX2,CSX3,CSX4,CSX5,3D_displ_mm,H_displ_mm,V_displ_mm
2018-08-08,0.0,0.0,0.0,0.0,0.0,,,
2018-09-09,-0.2,0.0,-2.7,-0.4,-0.3,,,
2018-10-07,0.4,-0.6,-4.4,0.8,1.5,,,
2018-10-23,1.1,0.7,-4.2,0.1,0.9,,,
2018-11-16,1.6,1.9,-7.3,3.5,5.3,,,
2018-11-28,-1.2,1.4,-3.6,2.3,3.1,,,
2019-01-03,-5.2,-4.4,-3.3,1.4,-0.1,,,
2019-01-11,0.4,0.5,-1.7,4.9,5.0,,,
2019-01-31,5.2,2.1,-3.6,-0.1,0.1,,,
2019-02-16,-1.4,-1.1,-1.8,-0.8,-0.5,,,
2019-03-08,-0.7,-0.5,-2.5,0.6,1.4,,,
2019-03-16,0.6,-0.5,-2.8,1.8,1.7,,,
2019-04-09,-3.6,-2.8,-4.2,-0.6,0.0,,,
2019-04-25,-1.3,-1.7,-4.1,-1.2,-1.1,,,
2019-05-03,-0.8,-2.8,-3.5,-2.8,-2.2,,,
2019-06-12,-0.3,-0.6,-2.6,0.1,0.3,,,
2019-07-30,-1.8,-3.0,-3.0,-0.9,-0.4,,,
2019-10-02,3.7,-0.6,-4.3,-1.6,-1.5,,,
2019-11-26,-6.7,1.9,-0.2,0.3,1.0,,,
2020-02-15,-0.9,-1.3,-2.9,0.3,0.4,,,
2020-08-01,-0.8,-1.7,-1.2,1.0,1.6,,,
2020-09-26,0.1,-0.4,-4.3,2.5,2.7,,,
2020-12-23,-3.2,-2.0,-3.3,2.1,1.7,,,
2021-01-08,-2.8,-1.8,-5.6,1.3,1.2,,,
2021-02-09,0.1,-1.7,-0.5,2.4,0.6,,,
2021-02-17,-1.6,0.2,4.0,3.3,3.1,,,
2021-03-05,-0.7,-1.6,-2.5,0.9,0.8,,,
2021-04-22,-2.8,-3.5,-1.5,-2.2,-2.1,,,
2021-05-08,-1.1,-3.0,-3.9,-2.1,-1.4,,,
2021-06-01,-1.7,-2.3,-1.9,-0.1,0.7,,,
2021-07-03,-2.1,-2.8,1.0,0.0,-0.2,,,
2021-08-28,-1.2,-4.2,-3.2,-1.3,-1.1,,,
2021-09-29,0.6,-0.5,-2.7,1.2,1.8,,,
2021-10-07,1.2,0.2,-2.4,2.1,2.4,,,
2021-10-15,-1.3,-1.2,-1.9,0.8,1.2,,,
2021-10-30,-1.4166666666666667,-1.3541666666666665,-1.9416666666666667,0.6875,0.9916666666666666,0.0,0.0,0.0
2021-10-31,-1.5333333333333334,-1.5083333333333333,-1.9833333333333332,0.5750000000000001,0.7833333333333332,1.717204845,1.121919195,1.300034538
2021-11-02,-1.65,-1.6625,-2.025,0.4625,0.575,3.609993045,0.268274869,3.600010886
2021-11-03,-1.7666666666666666,-1.8166666666666667,-2.0666666666666664,0.35000000000000003,0.3666666666666666,3.527945724,2.146136537,-2.800089105
2021-11-05,-1.8833333333333333,-1.9708333333333332,-2.1083333333333334,0.23750000000000004,0.15833333333333321,3.48717787,2.323969305,2.599918492
2021-11-06,-2.0,-2.125,-2.15,0.125,-0.050000000000000044,3.700998383,3.047564795,2.099937583
2021-11-07,-2.1166666666666667,-2.279166666666667,-2.1916666666666664,0.012500000000000067,-0.2583333333333335,3.874082571,3.255601098,2.099899344
2021-11-08,-2.2333333333333334,-2.4333333333333336,-2.2333333333333334,-0.09999999999999998,-0.4666666666666668,4.545125055,3.227807662,3.19990929
2021-11-09,-2.3499999999999996,-2.5875000000000004,-2.275,-0.2124999999999999,-0.675,5.18652299,3.827608275,3.499919374
2021-11-13,-2.466666666666667,-2.7416666666666667,-2.3166666666666664,-0.32499999999999996,-0.8833333333333335,4.560936897,3.6759532,2.699909898
2021-11-14,-2.583333333333333,-2.895833333333333,-2.3583333333333334,-0.4375,-1.091666666666667,3.751912788,1.785253187,3.29995767
2021-11-15,-2.7,-3.05,-2.4,-0.55,-1.3,3.674396922,2.492330925,2.699903573
2021-11-17,-2.8166666666666664,-3.2041666666666666,-2.4416666666666664,-0.6625000000000001,-1.5083333333333335,4.323477852,3.113374982,2.999892824
2021-11-18,-2.933333333333333,-3.3583333333333334,-2.4833333333333334,-0.7749999999999999,-1.716666666666667,3.707108354,3.121264388,-2.00009024
2021-11-19,-3.05,-3.5125,-2.525,-0.8875,-1.925,3.890395071,3.7316838,1.099868095
2021-11-20,-3.1666666666666665,-3.666666666666667,-2.5666666666666664,-1.0,-2.1333333333333337,1.916892818,1.741993671,-0.799960077
2021-11-21,-3.283333333333333,-3.8208333333333337,-2.6083333333333334,-1.1125,-2.341666666666667,3.450743092,3.002889946,-1.70008231
2021-11-22,-3.3999999999999995,-3.9750000000000005,-2.65,-1.2249999999999999,-2.55,2.115047182,2.093665884,0.29997958
2021-11-23,-3.5166666666666666,-4.129166666666666,-2.6916666666666664,-1.3375000000000001,-2.7583333333333337,3.234244744,3.075752746,-1.000042055
2021-11-24,-3.633333333333333,-4.283333333333333,-2.7333333333333334,-1.45,-2.966666666666667,5.542339006,2.770863348,-4.799983121
2021-11-25,-3.75,-4.4375,-2.775,-1.5625000000000002,-3.175,4.277135046,2.145548069,-3.700068605
2021-11-29,-3.8666666666666663,-4.591666666666667,-2.8166666666666664,-1.675,-3.3833333333333337,0.758369398,0.73152393,0.199992208
2021-12-01,-3.9833333333333334,-4.745833333333334,-2.8583333333333334,-1.7874999999999999,-3.591666666666667,2.879229404,2.515980645,-1.399929768
2021-12-02,-4.1,-4.9,-2.9,-1.9,-3.8,3.132969357,2.411595243,-1.999926342
2021-12-03,-4.170588235294117,-4.973529411764706,-3.0088235294117647,-1.938235294117647,-3.788235294117647,2.569734926,2.498724757,-0.599926812
2021-12-04,-4.241176470588235,-5.0470588235294125,-3.1176470588235294,-1.976470588235294,-3.776470588235294,3.390593905,2.737848837,2.000077692
2021-12-05,-4.311764705882353,-5.120588235294118,-3.226470588235294,-2.014705882352941,-3.764705882352941,3.510271882,3.173604404,1.500081255
2021-12-07,-4.38235294117647,-5.194117647058824,-3.3352941176470585,-2.052941176470588,-3.7529411764705882,2.596289607,2.594358905,0.100107921
2021-12-08,-4.452941176470588,-5.267647058823529,-3.4441176470588233,-2.0911764705882354,-3.7411764705882353,2.533406343,2.53143617,-0.099893019
2021-12-09,-4.523529411764706,-5.341176470588236,-3.552941176470588,-2.1294117647058823,-3.729411764705882,2.510432443,2.302708272,-0.999902828
2021-12-10,-4.594117647058823,-5.4147058823529415,-3.661764705882353,-2.1676470588235293,-3.717647058823529,3.756955502,3.735583989,0.400158592
2021-12-11,-4.664705882352941,-5.488235294117647,-3.7705882352941176,-2.2058823529411766,-3.705882352941176,3.530850497,2.909714106,2.00011726
2021-12-13,-4.735294117647059,-5.561764705882354,-3.879411764705882,-2.2441176470588236,-3.6941176470588233,3.740298559,3.691885682,-0.599844502
2021-12-15,-4.805882352941176,-5.635294117647059,-3.988235294117647,-2.2823529411764705,-3.6823529411764704,5.199424599,5.184030781,-0.399801232
2021-12-17,-4.876470588235294,-5.708823529411765,-4.097058823529411,-2.320588235294118,-3.6705882352941175,4.19327947,3.685507616,2.000156576
2021-12-18,-4.947058823529412,-5.782352941176471,-4.205882352941176,-2.3588235294117648,-3.6588235294117646,6.162079551,4.508838753,4.200190173
2021-12-19,-5.017647058823529,-5.855882352941177,-4.314705882352941,-2.3970588235294117,-3.6470588235294117,4.05990405,4.058668055,0.100172435
2021-12-20,-5.088235294117647,-5.929411764705883,-4.423529411764706,-2.435294117647059,-3.635294117647059,4.491861071,4.49074404,0.100169066
2021-12-21,-5.158823529411764,-6.002941176470589,-4.5323529411764705,-2.473529411764706,-3.623529411764706,6.620788194,4.221732834,5.100177271
2021-12-22,-5.229411764705882,-6.076470588235295,-4.641176470588235,-2.511764705882353,-3.611764705882353,5.71698913,5.141293407,2.500213355
2021-12-23,-5.3,-6.15,-4.75,-2.55,-3.5999999999999996,5.91183085,4.904956291,3.300173902
2021-12-24,-5.370588235294117,-6.223529411764706,-4.858823529411764,-2.588235294117647,-3.5882352941176467,6.19907251,4.818408195,3.900184925
2021-12-25,-5.4411764705882355,-6.2970588235294125,-4.967647058823529,-2.626470588235294,-3.576470588235294,7.062923486,5.820931887,4.000205013
2021-12-26,-5.511764705882353,-6.370588235294118,-5.076470588235294,-2.6647058823529415,-3.564705882352941,10.09631812,6.026837593,8.100177054
2021-12-27,-5.58235294117647,-6.444117647058824,-5.185294117647059,-2.7029411764705884,-3.552941176470588,8.313965646,5.055665104,6.600172355
