DATE,S124_1,S124_2,3D_displ_mm,H_displ_mm,V_displ_mm
2014-10-14,0.0,0.0,,,
2014-10-26,13.0,13.2,,,
2014-12-01,12.3,13.6,,,
2014-12-25,4.4,6.1,,,
2015-01-18,-3.6,-6.0,,,
2015-01-30,19.7,19.8,,,
2015-03-07,11.9,17.7,,,
2015-03-19,14.9,15.7,,,
2015-03-31,4.2,18.7,,,
2015-04-12,10.8,18.7,,,
2015-04-24,-0.1,-4.5,,,
2015-05-06,16.8,18.8,,,
2015-05-18,-0.4,-4.9,,,
2015-05-30,17.5,19.7,,,
2015-06-11,-2.9,-2.6,,,
2015-06-23,-3.0,-1.7,,,
2015-07-17,15.7,17.1,,,
2015-07-29,-6.3,-2.1,,,
2015-08-22,8.3,9.4,,,
2015-09-03,9.5,5.6,,,
2015-09-15,8.2,6.2,,,
2015-10-21,11.5,13.0,,,
2015-11-02,12.2,12.1,,,
2015-11-14,9.4,10.3,,,
2015-11-26,9.8,11.3,,,
2015-12-08,7.8,7.1,,,
2015-12-20,4.9,7.5,,,
2016-01-01,6.5,8.7,,,
2016-01-13,7.3,8.3,,,
2016-01-25,9.2,9.8,,,
2016-02-06,7.8,8.2,,,
2016-02-18,8.6,9.2,,,
2016-03-01,6.4,6.4,,,
2016-03-13,8.4,8.5,,,
2016-03-25,9.6,8.8,,,
2016-04-06,8.0,7.9,,,
2016-04-18,5.2,6.5,,,
2016-04-30,5.3,7.0,,,
2016-05-12,6.5,6.7,,,
2016-05-24,5.7,4.4,,,
2016-06-05,0.6,1.1,,,
2016-06-29,5.5,8.0,,,
2016-07-11,2.0,2.2,,,
2016-07-23,10.7,8.4,,,
2016-08-04,2.8,5.0,,,
2016-08-16,2.3,3.6,,,
2016-09-09,2.4,3.3,,,
2016-09-21,5.7,6.4,,,
2016-09-27,0.8,3.2,,,
2016-10-03,0.3,1.1,,,
2016-10-09,3.0,4.3,,,
2016-10-15,1.5,3.1,,,
2016-10-21,3.6,5.1,,,
2016-10-27,1.5,2.5,,,
2016-11-02,2.5,3.4,,,
2016-11-08,4.9,6.0,,,
2016-11-14,5.4,4.5,,,
2016-11-20,5.7,5.5,,,
2016-11-26,5.2,6.2,,,
2016-12-02,2.9,3.8,,,
2016-12-08,1.4,5.2,,,
2016-12-14,1.7,3.6,,,
2016-12-20,5.2,5.8,,,
2016-12-26,4.1,5.8,,,
2017-01-01,4.4,4.9,,,
2017-01-07,3.3,4.4,,,
2017-01-13,3.6,4.4,,,
2017-01-19,5.8,7.0,,,
2017-01-25,5.2,6.1,,,
2017-01-31,4.4,5.2,,,
2017-02-06,4.3,5.2,,,
2017-02-12,3.5,4.3,,,
2017-02-18,5.2,6.6,,,
2017-02-24,6.2,7.5,,,
2017-03-02,3.9,6.5,,,
2017-03-08,4.5,6.0,,,
2017-03-14,4.9,6.4,,,
2017-03-20,4.1,5.4,,,
2017-03-26,3.2,4.2,,,
2017-04-01,2.0,3.4,,,
2017-04-07,4.7,6.1,,,
2017-04-13,2.0,3.5,,,
2017-04-19,3.4,5.4,,,
2017-04-25,4.4,5.2,,,
2017-05-01,5.0,5.2,,,
2017-05-07,3.4,4.7,,,
2017-05-13,6.4,5.6,,,
2017-05-19,0.2,1.9,,,
2017-05-25,4.3,5.0,,,
2017-05-31,3.3,3.1,,,
2017-06-06,1.6,1.1,,,
2017-06-12,-0.9,1.2,,,
2017-06-18,3.3,2.1,,,
2017-06-24,1.2,0.4,,,
2017-06-30,1.0,2.3,,,
2017-07-06,1.2,1.6,,,
2017-07-12,-1.0,0.4,,,
2017-07-24,-0.5,1.0,,,
2017-07-30,1.4,0.0,,,
2017-08-05,-3.7,-1.6,,,
2017-08-11,3.0,2.7,,,
2017-08-17,-1.8,-1.1,,,
2017-08-23,-1.3,-2.4,,,
2017-08-29,-0.4,-1.0,,,
2017-09-04,-0.3,-1.0,,,
2017-09-10,-2.5,-2.4,,,
2017-09-16,1.7,2.4,,,
2017-09-22,-2.5,-2.6,,,
2017-09-28,-0.6,-0.4,,,
2017-10-04,-1.4,-1.6,,,
2017-10-10,-1.4,-0.9,,,
2017-10-16,-2.6,-0.7,,,
2017-10-22,-1.0,-1.4,,,
2017-10-28,0.9,0.1,,,
2017-11-03,0.9,1.1,,,
2017-11-09,2.6,2.3,,,
2017-11-15,-0.3,-0.1,,,
2017-11-21,0.9,1.7,,,
2017-11-27,2.5,3.1,,,
2017-12-03,3.2,0.7,,,
2017-12-09,2.6,1.5,,,
2017-12-15,-0.6,-0.6,,,
2017-12-21,1.2,0.9,,,
2017-12-27,3.8,3.9,,,
2018-01-02,-1.7,-0.8,,,
2018-01-08,0.5,1.1,,,
2018-01-14,2.3,2.6,,,
2018-01-20,-1.3,-0.2,,,
2018-01-26,-0.9,-0.1,,,
2018-02-01,0.2,1.4,,,
2018-02-07,1.2,1.3,,,
2018-02-13,0.1,0.7,,,
2018-02-19,0.0,0.7,,,
2018-02-25,5.2,7.0,,,
2018-03-03,10.8,12.8,,,
2018-03-09,-0.5,0.6,,,
2018-03-15,0.9,0.5,,,
2018-03-21,3.4,4.2,,,
2018-03-27,0.5,1.3,,,
2018-04-02,0.4,0.8,,,
2018-04-08,3.6,3.5,,,
2018-04-14,1.5,-0.5,,,
2018-04-20,-0.2,1.1,,,
2018-04-26,-0.5,0.2,,,
2018-05-02,-2.9,-2.2,,,
2018-05-08,-5.7,-3.9,,,
2018-05-14,1.0,0.5,,,
2018-05-20,-2.3,-0.4,,,
2018-05-26,-0.1,0.1,,,
2018-06-01,1.0,1.0,,,
2018-06-07,0.1,-0.5,,,
2018-06-13,-2.1,-1.8,,,
2018-06-19,-0.2,-0.4,,,
2018-06-25,3.3,1.0,,,
2018-07-01,-3.3,-3.2,,,
2018-07-07,-2.5,-2.6,,,
2018-07-13,-4.4,-4.1,,,
2018-07-19,-3.7,-3.2,,,
2018-07-25,-3.3,-1.6,,,
2018-07-31,-3.2,-3.9,,,
2018-08-06,-2.6,-2.2,,,
2018-08-12,-0.8,-1.3,,,
2018-08-18,-0.8,-0.5,,,
2018-08-24,-3.3,-2.0,,,
2018-08-30,-1.2,-0.2,,,
2018-09-05,-2.5,-1.1,,,
2018-09-11,-3.1,-2.8,,,
2018-09-17,0.8,0.3,,,
2018-09-23,-2.0,-1.9,,,
2018-09-29,1.6,0.9,,,
2018-10-05,0.9,0.7,,,
2018-10-11,0.5,1.5,,,
2018-10-17,1.8,2.1,,,
2018-10-23,1.3,-1.3,,,
2018-10-29,-1.6,0.5,,,
2018-11-04,1.9,1.6,,,
2018-11-10,3.4,3.4,,,
2018-11-16,3.0,3.4,,,
2018-11-22,4.6,4.2,,,
2018-11-28,-1.9,-0.2,,,
2018-12-04,-4.5,-1.8,,,
2018-12-10,-2.6,-0.9,,,
2018-12-16,1.2,1.9,,,
2018-12-22,-3.0,-0.9,,,
2018-12-28,0.0,0.3,,,
2019-01-03,-3.3,-2.5,,,
2019-01-09,-1.7,-0.6,,,
2019-01-15,-2.5,-0.9,,,
2019-01-21,-3.2,-3.7,,,
2019-01-27,-2.9,-1.8,,,
2019-02-02,-1.2,-0.6,,,
2019-02-08,-3.6,-2.4,,,
2019-02-14,-1.1,0.0,,,
2019-02-20,-1.6,0.1,,,
2019-02-26,-2.9,-2.2,,,
2019-03-04,-2.6,-1.0,,,
2019-03-10,-2.0,-0.9,,,
2019-03-16,1.1,1.7,,,
2019-03-22,-2.3,-2.7,,,
2019-03-28,-0.7,-1.0,,,
2019-04-03,-5.7,-4.5,,,
2019-04-09,-1.0,0.1,,,
2019-04-15,-0.7,0.3,,,
2019-04-21,-1.8,-2.1,,,
2019-04-27,-1.6,0.0,,,
2019-05-03,-2.3,-2.8,,,
2019-05-09,-0.5,-0.7,,,
2019-05-15,-1.8,-1.8,,,
2019-05-21,-1.8,-2.5,,,
2019-05-27,-3.5,-1.5,,,
2019-06-02,0.0,0.6,,,
2019-06-08,-3.6,-1.9,,,
2019-06-14,-4.6,-3.8,,,
2019-06-20,-1.4,-1.4,,,
2019-06-26,-1.5,-1.3,,,
2019-07-08,0.2,-0.6,,,
2019-07-14,-0.4,-0.4,,,
2019-07-20,-1.5,-2.3,,,
2019-07-26,-1.3,-2.5,,,
2019-08-01,0.3,-0.6,,,
2019-08-07,-2.3,-2.7,,,
2019-08-13,-0.5,0.2,,,
2019-08-19,-0.8,-0.4,,,
2019-08-25,3.7,3.5,,,
2019-08-31,-3.9,-3.2,,,
2019-09-06,-1.4,-1.9,,,
2019-09-12,-1.7,-2.2,,,
2019-09-18,-2.1,-0.7,,,
2019-09-24,-2.9,-2.5,,,
2019-09-30,-2.4,-2.2,,,
2019-10-06,0.4,1.1,,,
2019-10-12,-1.5,-1.7,,,
2019-10-18,3.9,2.3,,,
2019-10-24,1.3,1.1,,,
2019-10-30,-1.7,-0.8,,,
2019-11-05,2.8,1.9,,,
2019-11-11,-1.8,-1.6,,,
2019-11-17,-2.6,-0.5,,,
2019-11-23,-1.1,-0.8,,,
2019-11-29,-2.0,-1.2,,,
2019-12-05,-2.6,-1.9,,,
2019-12-11,0.0,0.1,,,
2019-12-17,0.8,1.2,,,
2019-12-23,0.1,0.2,,,
2019-12-29,-1.8,-1.0,,,
2020-01-04,-0.9,0.4,,,
2020-01-10,-2.8,-1.8,,,
2020-01-16,-1.7,-1.0,,,
2020-01-22,-0.6,-0.1,,,
2020-01-28,-1.2,-0.5,,,
2020-02-03,-2.5,-1.8,,,
2020-02-09,-2.8,-1.4,,,
2020-02-15,-3.0,-3.3,,,
2020-02-21,-2.2,-2.3,,,
2020-03-04,-2.7,-2.5,,,
2020-03-16,-6.5,-7.0,,,
2020-03-22,-5.7,-6.2,,,
2020-03-28,-8.0,-8.5,,,
2020-04-03,-6.1,-6.0,,,
2020-04-09,-5.3,-5.8,,,
2020-04-15,-5.5,-4.9,,,
2020-04-21,-1.4,-2.3,,,
2020-04-27,-0.4,-1.4,,,
2020-05-03,-4.0,-5.2,,,
2020-05-09,-5.2,-5.9,,,
2020-05-15,-12.4,-2.9,,,
2020-05-21,-1.6,-2.5,,,
2020-05-27,-3.3,-2.4,,,
2020-06-02,1.5,-0.3,,,
2020-06-08,6.7,0.0,,,
2020-06-14,-1.5,-2.2,,,
2020-06-20,-8.2,-5.9,,,
2020-06-26,-4.3,-3.6,,,
2020-07-02,-2.1,-2.1,,,
2020-07-08,-2.7,-3.3,,,
2020-07-14,-3.9,-3.4,,,
2020-07-20,2.3,-1.2,,,
2020-07-26,-3.9,-3.3,,,
2020-08-01,-4.2,-3.4,,,
2020-08-07,-0.9,-1.8,,,
2020-08-13,-1.4,-1.3,,,
2020-08-19,-5.8,-4.3,,,
2020-08-25,-3.2,-2.8,,,
2020-08-31,-1.6,-2.3,,,
2020-09-06,-4.6,-4.1,,,
2020-09-12,-2.7,-3.5,,,
2020-09-18,-2.4,-3.3,,,
2020-09-24,-1.3,-0.6,,,
2020-09-30,-2.2,-2.4,,,
2020-10-06,-0.4,-1.1,,,
2020-10-12,-3.0,-2.9,,,
2020-10-18,-4.0,-2.9,,,
2020-10-24,-4.3,-2.2,,,
2020-10-30,-2.7,-0.8,,,
2020-11-05,-2.9,-2.3,,,
2020-11-11,-0.6,-0.1,,,
2020-11-17,-0.4,-1.2,,,
2020-11-23,-0.3,-0.9,,,
2020-11-29,-0.7,-1.2,,,
2020-12-05,1.0,0.5,,,
2020-12-11,1.4,1.2,,,
2020-12-17,0.8,0.6,,,
2020-12-23,1.9,2.2,,,
2020-12-29,0.1,0.2,,,
2021-01-04,2.0,2.5,,,
2021-01-10,-2.5,-1.4,,,
2021-01-16,0.4,-1.0,,,
2021-01-22,1.5,1.6,,,
2021-01-28,1.1,0.4,,,
2021-02-03,-0.3,0.4,,,
2021-02-09,-0.6,0.3,,,
2021-02-15,-2.3,-1.2,,,
2021-02-21,-0.6,0.1,,,
2021-02-27,1.1,1.3,,,
2021-03-05,0.3,0.2,,,
2021-03-11,-2.2,-3.5,,,
2021-03-17,-1.4,-2.6,,,
2021-03-23,0.0,-0.7,,,
2021-03-29,-3.3,-3.7,,,
2021-04-04,-0.5,-0.4,,,
2021-04-10,-2.7,-3.7,,,
2021-04-16,-5.1,-4.6,,,
2021-04-22,-2.0,-3.0,,,
2021-04-28,-1.9,-2.6,,,
2021-05-04,-0.4,-0.1,,,
2021-05-10,-5.3,-4.8,,,
2021-05-16,-7.0,-2.8,,,
2021-05-22,-5.8,-3.6,,,
2021-05-28,-5.3,-4.3,,,
2021-06-03,-2.2,-1.6,,,
2021-06-09,-0.1,0.1,,,
2021-06-15,-2.9,-1.9,,,
2021-06-21,-5.6,-6.2,,,
2021-06-27,-0.3,-1.5,,,
2021-07-03,-4.2,-4.7,,,
2021-07-09,-3.6,-3.2,,,
2021-07-15,-4.6,-3.5,,,
2021-07-21,-6.4,-6.7,,,
2021-07-27,-3.7,-3.7,,,
2021-08-08,-5.5,-5.3,,,
2021-08-14,-2.5,-2.2,,,
2021-08-26,-1.1,-2.3,,,
2021-09-01,1.7,0.7,,,
2021-09-07,-2.9,-2.5,,,
2021-09-13,-3.0,-3.5,,,
2021-09-19,-4.0,-3.6,,,
2021-09-25,-2.2,-2.8,,,
2021-10-01,-3.4,-2.8,,,
2021-10-07,-4.3,-3.8,,,
2021-10-13,-1.0,-2.2,,,
2021-10-19,-3.9,-3.5,,,
2021-10-25,-6.1,-4.5,,,
2021-10-30,-3.25,-2.7,0.0,0.0,0.0
2021-10-31,-0.4,-0.9,1.717204845,1.121919195,1.300034538
2021-11-02,0.125,-1.425,3.609993045,0.268274869,3.600010886
2021-11-03,0.65,-1.9500000000000002,3.527945724,2.146136537,-2.800089105
2021-11-05,1.1750000000000003,-2.475,3.48717787,2.323969305,2.599918492
2021-11-06,1.7,-3.0,3.700998383,3.047564795,2.099937583
2021-11-07,0.44999999999999996,-2.825,3.874082571,3.255601098,2.099899344
2021-11-08,-0.8,-2.65,4.545125055,3.227807662,3.19990929
2021-11-09,-2.05,-2.4749999999999996,5.18652299,3.827608275,3.499919374
