DATE,S73_1
20141010,0
20141022,-5.8
20141103,16.2
20141115,-2
20141127,20.1
20141209,1.7
20141221,2.5
20150102,-4.6
20150114,-5.3
20150126,5
20150207,2.3
20150303,5.3
20150315,3.7
20150327,-1.8
20150408,20.1
20150420,1.7
20150502,-1.9
20150514,14.8
20150526,-2.1
20150607,-4.6
20150619,-2.9
20150701,18.9
20150713,13.8
20150725,10.9
20150806,-2.6
20150923,11.2
20151005,9.3
20151122,9
20151204,8.6
20151216,11.1
20151228,11
20160109,9.7
20160121,9.6
20160202,12.8
20160214,9.3
20160226,11.1
20160309,10
20160321,11.6
20160402,13.1
20160414,8.8
20160426,8.4
20160508,10.7
20160520,6.8
20160601,5.8
20160613,7.8
20160707,6.4
20160719,4.6
20160731,3.4
20160812,7.4
20160824,8.2
20160905,3.4
20160917,6.6
20160929,9.7
20161005,3.6
20161011,10.3
20161017,5.5
20161023,6.1
20161029,4.4
20161104,6.6
20161110,5.5
20161116,5.1
20161122,4.7
20161128,3.6
20161204,5.1
20161210,6.3
20161216,7.2
20161222,4.7
20161228,7.5
20170103,2.8
20170109,4.7
20170115,5.4
20170121,3.5
20170127,3.3
20170202,5.3
20170208,4.6
20170214,3
20170220,4.1
20170226,5.1
20170304,4.2
20170310,6.6
20170316,5
20170322,8.7
20170328,5.5
20170403,7.5
20170409,4.4
20170415,3.2
20170421,6.3
20170427,5
20170503,3.3
20170509,6.1
20170515,5.7
20170521,3.7
20170527,5.3
20170602,7.3
20170608,8.2
20170614,3.7
20170620,3.9
20170626,4.6
20170702,-0.2
20170708,-1.8
20170714,-3.1
20170720,-0.9
20170726,16.1
20170801,3.4
20170807,4.3
20170813,1
20170819,10.3
20170825,3.1
20170831,5.6
20170906,2.7
20170912,1.8
20170918,3
20170924,1.9
20170930,-0.4
20171006,5.5
20171012,2.6
20171018,1.4
20171024,5.7
20171030,2.7
20171105,7.8
20171111,3.6
20171117,-2
20171123,1.3
20171129,-2.3
20171205,5.5
20171211,0.6
20171217,2
20171223,1.6
20171229,0.3
20180104,4.1
20180110,2.4
20180116,3.1
20180122,1.9
20180128,1.8
20180203,2.9
20180209,5
20180215,2.1
20180221,14.3
20180227,4.4
20180305,0
20180311,1.4
20180317,4.2
20180323,4
20180329,3.6
20180404,-0.6
20180410,0.5
20180416,0.5
20180422,3.5
20180428,-0.2
20180504,0.1
20180510,2.5
20180516,-0.9
20180522,3.7
20180528,1.4
20180603,3
20180609,0.7
20180615,0.1
20180621,11.3
20180627,3.4
20180703,1.4
20180709,3.7
20180715,3.8
20180721,4.1
20180727,2.6
20180802,0.2
20180808,3.8
20180814,0.9
20180820,2.1
20180826,0.1
20180901,1.2
20180907,-0.6
20180913,0.6
20180919,1.6
20180925,1
20181001,1.9
20181007,4.8
20181013,2
20181019,3.5
20181025,5.1
20181031,5.4
20181106,6.6
